4431300|Lakeville|2752.0|3|3|2|0|0.1|388155.0
4426862|Rosemount|3039.0|4|3|3|0|0.22|388065.0
4425277|Lakeville|2881.0|4|3|3|-1|0.266|386200.0
4433900|Farmington|2646.0|4|3|3|0|0.23|385000.0
4373996|Rosemount|3360.0|5|4|3|2|0.4|384900.0
4425176|Lakeville|2724.0|4|3|3|-1|0.27|384900.0
4416275|Eagan|2893.0|5|3|3|0|0.5|384900.0
4430386|Rosemount|3840.0|5|4|3|19|0.474|383000.0
4429859|Rosemount|2944.0|4|4|3|0|0.22|382900.0
4433658|Eagan|1700.0|1|2|3|0|0.01|382675.0
4385114|Rosemount|3277.0|4|3|3|9|0.27|380000.0
4365487|Lakeville|3786.0|5|4|3|10|0.34|380000.0
4410223|Burnsville|3536.0|4|4|3|31|0.449|379900.0
4426716|Apple Valley|2668.0|2|3|2|12|0.16|379900.0
4409629|Eagan|3202.0|4|4|3|23|0.52|379000.0
4424061|Lakeville|2652.0|3|3|3|-1|0.32|377850.0
4433885|Farmington|2657.0|4|3|3|0|0.23|375000.0
4420070|Lakeville|3921.0|4|4|3|20|0.36|375000.0
4428613|Apple Valley|2854.0|4|3|3|0|0.18|375000.0
4417316|Burnsville|4064.0|4|4|3|24|0.54|374900.0
4435589|Lakeville|3637.0|4|4|3|10|0.34|374900.0
4435764|Eagan|3300.0|3|4|3|15|0.28|374900.0
4407738|Rosemount|3443.0|5|4|3|7|0.29|374900.0
4435660|Apple Valley|2673.0|4|3|3|-1|0.01|371900.0
4418708|Farmington|3761.0|5|4|3|0|0.232|371800.0
4424908|Rosemount|2680.0|4|3|3|0|0.27|369990.0
4428167|Lakeville|2773.0|4|3|3|0|0.3|369900.0
4426517|Eagan|3244.0|4|3|2|41|0.57|369900.0
4423455|Lakeville|2467.0|4|3|3|0|0.254|369900.0
4408850|Lakeville|2500.0|4|3|3|0|0.294|369900.0
4316254|Farmington|2618.0|4|3|3|1|0.23|369900.0
